Date,TVL,Chain Fees,DEXs Volume,Active Addresses,Transactions,ETH Chain,,,
"46,023",$67.982b,"233,867",$1.032b,"697,632",1.94m TXs,,,,
"46,024",$69.291b,"411,682",$1.46b,"679,406",1.97m TXs,,,,
"46,025",$72.023b,"280,119",$1.068b,"659,613",2.02m TXs,,,,
"46,026",$72.317b,"292,166",$816.8m,"637,376",1.73m TXs,,,,
"46,027",$72.65b,"475,818",$1.724b,"772,959",2.08m TXs,,,,
"46,028",$74.324b,"586,276",$2.077b,"701,375",2.01m TXs,,,,
"46,029",$74.984b,"407,234",$1.834b,"668,406",2.01m TXs,,,,
"46,030",$72.827b,"396,598",$1.507b,"704,527",2.06m TXs,,,,
"46,031",$71.193b,"340,289",$1.229b,"760,961",2.08m TXs,,,,
"46,032",$70.943b,"205,248",$650.49m,"645,643",1.88m TXs,,,,
"46,033",$71.204b,"241,900",$794.23m,"645,596",1.83m TXs,,,,
"46,034",$71.744b,"336,854",$1.445b,"795,968",2.15m TXs,,,,
"46,035",$71.378b,"466,789",$2.062b,"895,050",2.37m TXs,,,,
"46,036",$75.035b,"487,975",$2.886b,"904,561",2.62m TXs,,,,
"46,037",$75.525b,"459,905",$2.075b,"980,428",2.78m TXs,,,,
"46,038",$74.799b,"312,809",$1.763b,1.07m,2.75m TXs,,,,
"46,039",$74.877b,"240,417",$881.23m,"786,235",2.4m TXs,,,,
"46,040",$75.172b,"333,264",$905.55m,"599,472",1.96m TXs,,,,
"46,041",$73.742b,"371,464",$1.819b,"868,354",2.49m TXs,,,,
"46,042",$73.505b,"560,306",$2.961b,"814,687",2.29m TXs,,,,
"46,043",$68.679b,"558,323",$2.563b,"999,335",2.47m TXs,,,,
"46,044",$69.397b,"406,178",$1.649b,"887,095",2.43m TXs,,,,
"46,045",$69.226b,"361,892",$1.492b,1.09m,2.52m TXs,,,,
"46,046",$69.071b,"273,249",$976.82m,"845,371",2.27m TXs,,,,
"46,047",$69.769b,"370,074",$1.564b,"682,357",2.2m TXs,,,,
"46,048",$67.447b,"447,961",$1.765b,"757,159",2.35m TXs,,,,
"46,049",$69.346b,"344,850",$1.813b,"845,148",2.47m TXs,,,,
"46,050",$70.72b,"383,541",$1.742b,1.1m,2.72m TXs,,,,
"46,051",$70.927b,"747,286",$1.982b,1.15m,2.62m TXs,,,,
"46,052",$67.622b,"858,603",$2.551b,"825,388",2.25m TXs,,,,
